Time,Solar Power (MW),Diesel Generator Power (MW),Battery Power (MW),Wind Power (MW),Load Profile (MW),Output power (MW),Output power (Sources)
1.67291778618616e-05,-0.0054257826295905,-4.02294065615463,1,-0.107948667257508,0.9,1.0,Battery
1.7553426143248e-05,-0.0042000640155542,-3.53722218267901,1,-0.0834423383014731,0.9,1.0,Battery
1.85537042527967e-05,-0.0030529888231244,-3.03908979799712,1,-0.0605256970367761,0.9,1.0,Battery
1.95539823623453e-05,-0.0022031368222614,-2.63169924045965,1,-0.0435649161352632,0.9,1.0,Battery
2.0554260471894e-05,-0.0015854804517406,-2.3045370489268,1,-0.0312551939038682,0.9,1.0,Battery
2.15545385814427e-05,-0.001148271455477,-2.04735525549819,1,-0.0225582638009031,0.9,1.0,Battery
2.23004203136239e-05,-0.0009150164916115,-1.8955847730735,1,-0.0179293339183076,0.9,1.0,Battery
2.30463020458052e-05,-0.0007450166883324,-1.7734591359205,1,-0.0145652766481875,0.9,1.0,Battery
2.37921837779864e-05,-0.0006265055775426,-1.67742462169189,1,-0.0122299466346882,0.9,1.0,Battery
2.45380655101676e-05,-0.0005495845787509,-1.60418512216743,1,-0.0107246158029528,0.9,1.0,Battery
2.52839472423489e-05,-0.0005059448072928,-1.55070892708462,1,-0.0098824002420644,0.9,1.0,Battery
2.60298289745301e-05,-0.0004886319472438,-1.51422515600067,1,-0.0095635825985992,0.9,1.0,Battery
2.67757107067113e-05,-0.0004918460447912,-1.49221309738509,1,-0.0096516526514734,0.9,1.0,Battery
2.75215924388926e-05,-0.0005107697714667,-1.48238976955485,1,-0.0100499110292928,0.9,1.0,Battery
2.82674741710738e-05,-0.0005414207150558,-1.48269910121134,1,-0.0106785277618307,0.9,1.0,Battery
2.9013355903255e-05,-0.0005805245692222,-1.49130249786132,1,-0.0114719923916161,0.9,1.0,Battery
2.97592376354363e-05,-0.0006254066020231,-1.50656897931924,1,-0.0123769142856707,0.9,1.0,Battery
3.05051193676175e-05,-0.000673898932018,-1.52706375349654,1,-0.0133501351461684,0.9,1.0,Battery
3.14222708802462e-05,-0.0007359213632363,-1.55754581850752,1,-0.0145897919208316,0.9,1.0,Battery
3.2339422392875e-05,-0.0007983049741387,-1.59209106223191,1,-0.01583173441164,0.9,1.0,Battery
3.34871582173605e-05,-0.0008741143342052,-1.63850637414658,1,-0.0173347621790024,0.9,1.0,Battery
3.4634894041846e-05,-0.0009451967310993,-1.68623713433385,1,-0.0187376683235882,0.9,1.0,Battery
3.61857936609142e-05,-0.0010312486684714,-1.74940914630908,1,-0.0204265940565521,0.9,1.0,Battery
3.77366932799823e-05,-0.0011043780758008,-1.80840305739579,1,-0.0218514367703151,0.9,1.0,Battery
4.00444352379393e-05,-0.0011895118793967,-1.8845409060554,1,-0.0234920776458704,0.9,1.0,Battery
4.28519027997077e-05,-0.0012591037786967,-1.95620106601147,1,-0.0248051238295578,0.9,1.0,Battery
4.62624497421922e-05,-0.0013053618989792,-2.01418103901055,1,-0.0256370348160365,0.9,1.0,Battery
4.96729966846766e-05,-0.0013237417332968,-2.04662312825652,1,-0.0259182921970786,0.9,1.0,Battery
5.3083543627161e-05,-0.0013268253650315,-2.06162784822163,1,-0.0259013902124679,0.9,1.0,Battery
5.64940905696454e-05,-0.0013230629935188,-2.0662292308535,1,-0.0257540842230132,0.9,1.0,Battery
6.07265265319115e-05,-0.0013160613439928,-2.06503363685161,1,-0.0255306929689833,0.9,1.0,Battery
6.49589624941776e-05,-0.0013100184413618,-2.06111988317026,1,-0.0253302368124538,0.9,1.0,Battery
7.07024205361256e-05,-0.0013051333786206,-2.05602501933825,1,-0.0251264220495128,0.9,1.0,Battery
7.79035010191923e-05,-0.0013030241219999,-2.05183151222183,1,-0.0249509119156267,0.9,1.0,Battery
8.93875389094759e-05,-0.0013030189897696,-2.04836969838565,1,-0.0247357022020375,0.9,1.0,Battery
0.0001008715767997,-0.0013033996252158,-2.04592640668006,1,-0.0245267755344967,0.9,1.0,Battery
0.0001219151594646,-0.0013032227507094,-2.04087576906644,1,-0.0241268496389444,0.9,1.0,Battery
0.0001507287709752,-0.0013029461050623,-2.03377439134946,1,-0.0235791280442404,0.9,1.0,Battery
0.0002026447956414,-0.0013026091638066,-2.02122706809306,1,-0.0225955551973924,0.9,1.0,Battery
0.0003035800487018,-0.001301830213687,-1.99685919121947,1,-0.0206825946944527,0.9,1.0,Battery
0.0004259894266524,-0.0013010127510982,-1.96766818383045,1,-0.0183676701231003,0.9,1.0,Battery
0.0005483988046029,-0.0013001706743461,-1.93872797841781,1,-0.0160553824511546,0.9,1.0,Battery
0.0006982013122602,-0.001299267277953,-1.9037603084094,1,-0.0132319201237167,0.9,1.0,Battery
0.0008480038199175,-0.001298380641332,-1.86919177033144,1,-0.0104133821535926,0.9,1.0,Battery
0.0009978063275748,-0.0012976030257807,-1.83507326536255,1,-0.0076011578616333,0.9,1.0,Battery
0.0011860849974236,-0.0012966762572982,-1.79275749960777,1,-0.0040740539281848,0.9,1.0,Battery
0.0013743636672724,-0.0012958792810989,-1.75110285657094,1,-0.0005561863717991,0.9,1.0,Battery
0.0015626423371212,-0.0012951529716918,-1.710068649928,1,0.0029532247145654,0.9,1.0,Battery
0.0017998231843177,-0.0012943943504029,-1.65927007708353,1,0.0073615383502201,0.9,1.0,Battery
0.0020370040315143,-0.0012937601405921,-1.60942844530612,1,0.0117563989082308,0.9,1.0,Battery
0.0022741848787109,-0.0012932758903651,-1.56053503154815,1,0.016137692112969,0.9,1.0,Battery
0.0025778685814509,-0.0012928326583984,-1.49926908138843,1,0.0217281086663919,0.9,1.0,Battery
0.0028815522841909,-0.0012926006143401,-1.43947442943356,1,0.0272969896003556,0.9,1.0,Battery
0.0032548005533595,-0.0012925701401545,-1.36792796582603,1,0.0341124624628639,0.9,1.0,Battery
0.0036280488225282,-0.0012928151302218,-1.29846325751704,1,0.0408964448737422,0.9,1.0,Battery
0.0040919385724714,-0.0012934681397597,-1.21491460315068,1,0.049284561921147,0.9,1.0,Battery
0.0045558283224146,-0.0012944816963325,-1.13433493633726,1,0.0576257329819978,0.9,1.0,Battery
0.005162097373408,-0.0012963004942742,-1.03327584870201,1,0.0684572851654354,0.9,1.0,Battery
0.0057683664244014,-0.0012986212592298,-0.936798756493174,1,0.0792118450277086,0.9,1.0,Battery
0.0066182724252605,-0.0013026218844089,-0.808749631680162,1,0.0941611180964202,0.9,1.0,Battery
0.0074681784261196,-0.0013073703803062,-0.688548336016829,1,0.108966331511238,0.9,1.0,Battery
0.0088013866782933,-0.0013160559777717,-0.51425794098221,1,0.131907946706269,0.9,1.0,Battery
0.0101345949304671,-0.0013259493950556,-0.355703475344337,1,0.154516676321387,0.9,1.0,Battery
0.0114678031826408,-0.0013367107233143,-0.211013239801165,1,0.176802484328389,0.9,1.0,Battery
0.0128010114348145,-0.0013480836307657,-0.0785491775695663,1,0.198775829226635,0.9,1.0,Battery
0.0141342196869882,-0.0013599454640754,0.0431272547715876,1,0.220443999200979,0.9,1.0,Battery
0.015467427939162,-0.0013721066037454,0.155281765411651,1,0.241815546797695,0.9,1.0,Battery
0.0168006361913357,-0.0013845244339054,0.259023713575391,1,0.262895800929631,0.9,1.0,Battery
0.0181338444435094,-0.0013970596545307,0.355328359401979,1,0.283692124159587,0.9,1.0,Battery
0.0194670526956831,-0.0014097311263705,0.445050317126304,1,0.304208552244826,0.9,1.0,Battery
0.0208002609478569,-0.0014224274836703,0.528940426143012,1,0.324451657690454,0.9,1.0,Battery
0.0224045588340001,-0.0014377466531044,0.623104017303287,1,0.348453104693776,0.9,0.971557121997063,Diesel Wind
0.0240088567201433,-0.0014532458138684,0.710767235634824,1,0.372073725576745,0.9,1.0,Battery
0.0256131546062865,-0.0014687416385097,0.792769904883733,1,0.395318021401272,0.9,1.0,Battery
0.0276195574555743,-0.001487994000292,0.888488539064022,1,0.42387159251734,0.9,1.0,Battery
0.0296259603048622,-0.0015078162413908,0.977694989430829,1,0.451862879460784,0.9,0.977694989430829,Diesel
0.0324212663243071,-0.0015350434995636,1.09295171529711,1,0.489944307023789,0.9,1.0,Battery
0.0352165723437521,-0.0015638356271229,1.19956215469063,1,0.526992563140336,0.9,1.0,Battery
0.0380118783631971,-0.0015925342419611,1.29906252031518,1,0.563033310038971,0.9,1.0,Battery
0.040807184382642,-0.0016218274318548,1.39272819808818,1,0.598096638833333,0.9,1.0,Battery
